"","Title","Year","Rating","Runtime","Critic.Score","Box.Office"
"524","Seabiscuit",2003,"PG-13",140,77,120.1
"525","Spy Kids 3-D: Game Over",2003,"PG",84,45,111.7
"526","American Wedding",2003,"R",96,55,104.4
"527","Northfork",2003,"PG-13",103,56,1.3
"528","All the Real Girls",2003,"R",108,71,0.1
"529","Freaky Friday",2003,"PG",97,88,110.2
"530","Masked and Anonymous",2003,"PG-13",112,24,0.1
"531","S.W.A.T.",2003,"PG-13",117,48,116.6
"532","Uptown Girls",2003,"PG-13",92,14,36.9
"533","Freddy vs. Jason",2003,"R",97,40,82.2
"534","Open Range",2003,"R",139,79,58.3
"535","Grind",2003,"PG-13",105,8,5.1
"536","The Medallion",2003,"PG-13",88,18,22
"537","Marci X",2003,"R",84,9,1.5
"538","Camp",2003,"PG-13",114,63,1.6
"539","Le divorce",2003,"PG-13",117,37,8.9
"540","Step Into Liquid",2003,"PG",88,82,3.6
"541","Jeepers Creepers II",2003,"R",104,23,35.1
"542","The Order",2003,"R",102,8,7.5
"543","Dickie Roberts: Former Child Star",2003,"PG-13",98,23,22.7
"544","American Splendor",2003,"R",101,94,6
"545","Matchstick Men",2003,"PG-13",116,82,36.9
"546","Once Upon a Time in Mexico",2003,"R",102,68,55.8
"547","Anything Else",2003,"R",108,40,3.1
"548","Underworld",2003,"R",121,31,51.5
"549","Thirteen",2003,"R",100,81,4.5
"550","Cold Creek Manor",2003,"R",118,12,21.3
"551","Secondhand Lions",2003,"PG",109,59,41.4
"552","The Fighting Temptations",2003,"PG-13",123,42,30.2
"553","Luther",2003,"PG-13",123,44,5.7
"554","Under the Tuscan Sun",2003,"PG-13",113,62,43.5
"555","The Rundown",2003,"PG-13",104,71,47.6
"556","School of Rock",2003,"PG-13",108,92,81.2
"557","Lost in Translation",2003,"R",101,95,44.6
"558","House of the Dead",2003,"R",90,4,10.2
"559","Good Boy!",2003,"PG",87,45,37.6
"560","Intolerable Cruelty",2003,"PG-13",100,75,35.1
"561","Mystic River",2003,"R",138,87,90.1
"562","Party Monster",2003,"R",98,29,0.3
"563","The Texas Chainsaw Massacre",2003,"R",98,36,80.1
"564","Runaway Jury",2003,"PG-13",127,72,49.2
"565","Scary Movie 3",2003,"PG-13",84,36,109.8
"566","Wonderland",2003,"R",104,34,1
"567","Beyond Borders",2003,"R",127,14,4.4
"568","Radio",2003,"PG",109,36,52.3
"569","In the Cut",2003,"R",119,34,4.7
"570","Brother Bear",2003,"G",85,38,85.1
"571","The Matrix Revolutions",2003,"R",129,36,139.1
"572","Elf",2003,"PG",97,84,173.4
"573","Master and Commander: The Far Side of the World",2003,"PG-13",138,85,93.9
"574","Love Actually",2003,"R",135,63,59.4
"575","The Singing Detective",2003,"R",109,39,0.3
"576","Elephant",2003,"R",81,72,1.2
"577","Looney Tunes: Back in Action",2003,"PG",91,57,20.9
"578","Tupac: Resurrection",2003,"R",112,78,7.6
"579","Dr. Seuss' The Cat in the Hat",2003,"PG",82,10,100.4
"580","Gothika",2003,"R",98,14,59.5
"581","The Missing",2003,"R",137,58,26.8
"582","Timeline",2003,"PG-13",116,12,19.4
"583","Shattered Glass",2003,"PG-13",94,91,2.1
"584","The Haunted Mansion",2003,"PG",88,13,75.8
"585","Pieces of April",2003,"PG-13",80,84,2.4
"586","Honey",2003,"PG-13",94,21,30.2
"587","Pride and Prejudice",2003,"PG",104,66,0.0814
"588","The Last Samurai",2003,"R",154,65,111.1
"589","Love Don't Cost a Thing",2003,"PG-13",100,13,21.7
"590","Something's Gotta Give",2003,"PG-13",128,71,124.6
"591","The Lord of the Rings: The Return of the King",2003,"PG-13",201,95,377
"592","Mona Lisa Smile",2003,"PG-13",117,35,63.7
"593","Paycheck",2003,"PG-13",119,27,53.7
"594","Peter Pan",2003,"PG",113,77,48.4
"595","Cheaper by the Dozen",2003,"PG",98,24,138.5
"596","The Young Black Stallion",2003,"G",45,45,6.1
"597","Calendar Girls",2003,"PG-13",108,74,30.9
"598","Casa de los babys",2003,"R",95,58,0.3
"599","Big Fish",2003,"PG-13",125,77,66.3
"600","House of Sand and Fog",2003,"R",126,75,12.9
"601","The Book of Mormon Movie, Volume 1: The Journey",2003,"PG-13",120,17,1.1
"602","21 Grams",2003,"R",124,80,16.2
"603","The Cooler",2003,"R",101,77,8.2
"604","Monster",2003,"R",109,82,34.2
"605","Concert for George",2003,"PG-13",146,94,0.07
"606","The Fog of War: Eleven Lessons from the Life of Robert S. McNamara",2003,"PG-13",95,98,4.1
"607","Touching the Void",2003,"R",106,93,4.5
"608","Billabong Odyssey",2003,"PG",88,36,0.054
"609","Easy",2003,"R",99,59,0.0148
"610","Bukowski: Born into This",2003,"R",130,83,0.0817
"611","I'll Sleep When I'm Dead",2003,"R",103,43,0.2
"612","The Company",2003,"R",112,71,2.2
"613","Where's the Party Yaar?",2003,"PG-13",110,69,0.0488
"614","Coffee and Cigarettes",2003,"R",95,65,2
"615","Latter Days",2003,"R",107,43,0.6
"616","Open Water",2003,"R",79,72,30.5
"617","I Am David",2003,"PG",90,38,0.3
"618","The Yes Men",2003,"R",83,84,0.2
"619","Baadasssss!",2003,"R",109,91,0.3
"620","Saints and Soldiers",2003,"PG-13",90,66,1
"621","The United States of Leland",2003,"R",108,34,0.3
"622","The Wild Parrots of Telegraph Hill",2003,"G",83,95,2.7
"623","Off the Map",2003,"PG-13",105,70,1.3
"624","The Woodsman",2004,"R",87,88,1.5
"625","Torque",2004,"PG-13",84,23,21.1
"626","Along Came Polly",2004,"PG-13",90,26,87.9
"627","Teacher's Pet",2004,"PG",74,76,6.3
"628","Win a Date with Tad Hamilton!",2004,"PG-13",95,53,16.9
"629","The Butterfly Effect",2004,"R",113,33,57.7
"630","The Big Bounce",2004,"PG-13",88,16,6.3
"631","The Perfect Score",2004,"PG-13",93,17,10.3
"632","Catch That Kid",2004,"PG",91,12,16.5
"633","Miracle",2004,"PG",135,80,64.3
"634","Barbershop 2: Back in Business",2004,"PG-13",106,68,65
"635","50 First Dates",2004,"PG-13",99,44,120.8
"636","Highwaymen",2004,"R",80,13,0.3
"637","Against the Ropes",2004,"PG-13",111,12,5.7
"638","The Best Two Years",2004,"PG",112,73,0.2
"639","Welcome to Mooseport",2004,"PG-13",110,13,14.2
"640","Confessions of a Teenage Drama Queen",2004,"PG",89,13,29.2
"641","The Passion of the Christ",2004,"R",127,49,370.2
"642","Club Dread",2004,"R",104,29,4.6
"643","Twisted",2004,"R",97,1,25
"644","Stateside",2004,"R",97,24,0.1
"645","Dirty Dancing: Havana Nights",2004,"PG-13",86,22,14.1
"646","Starsky & Hutch",2004,"PG-13",101,63,88.2
"647","Hidalgo",2004,"PG-13",136,47,67.2
"648","Spartan",2004,"R",106,64,4.3
"649","Agent Cody Banks 2: Destination London",2004,"PG",100,13,23.2
"650","Secret Window",2004,"PG-13",96,46,47.8
"651","NASCAR: The IMAX Experience",2004,"PG",40,61,19.9
"652","Taking Lives",2004,"R",103,22,32.6
"653","Eternal Sunshine of the Spotless Mind",2004,"R",108,93,34.1
"654","Dawn of the Dead",2004,"R",101,75,58.9
"655","Never Die Alone",2004,"R",88,25,5.5
"656","Scooby-Doo 2: Monsters Unleashed",2004,"PG",93,21,84
"657","Hellboy",2004,"PG-13",122,81,59
"658","The Prince and Me",2004,"PG",111,28,28.1
"659","Walking Tall",2004,"PG-13",86,25,45.9
"660","Home on the Range",2004,"PG",76,54,49.9
"661","Johnson Family Vacation",2004,"PG-13",97,6,31
"662","The Girl Next Door",2004,"R",108,55,14.5
"663","The Whole Ten Yards",2004,"PG-13",98,4,16.2
"664","Ella Enchanted",2004,"PG",96,50,22.8
"665","Connie and Carla",2004,"PG-13",98,44,8
"666","The Punisher",2004,"R",124,29,33.7
"667","Clifford's Really Big Movie",2004,"G",73,53,2.8
"668","Man on Fire",2004,"R",146,39,77.7
"669","13 Going on 30",2004,"PG-13",98,64,56
"670","Envy",2004,"PG-13",99,7,12.2
"671","Bobby Jones: Stroke of Genius",2004,"PG",120,26,2.5
"672","Godsend",2004,"PG-13",102,4,14.3
"673","Mean Girls",2004,"PG-13",97,83,86
"674","New York Minute",2004,"PG",91,11,14
"675","Troy",2004,"R",163,54,133.1
"676","Breakin' All the Rules",2004,"PG-13",85,31,11.8
"677","Shrek 2",2004,"PG",93,88,436.5
"678","A Day Without a Mexican",2004,"R",100,27,4
"679","Raising Helen",2004,"PG-13",119,23,37.4
"680","The Day After Tomorrow",2004,"PG-13",124,45,186.6
"681","Soul Plane",2004,"R",86,18,13.9
"682","Harry Potter and the Prisoner of Azkaban",2004,"PG",142,91,249.4
"683","Garfield",2004,"PG",80,15,75.3
"684","Saved!",2004,"PG-13",92,61,8.8
"685","The Chronicles of Riddick",2004,"PG-13",119,29,56.8
"686","The Stepford Wives",2004,"PG-13",93,26,59.3
"687","Around the World in 80 Days",2004,"PG",120,31,23.9
"688","Dodgeball: A True Underdog Story",2004,"PG-13",92,70,114.2
"689","The Terminal",2004,"PG-13",128,61,77
"690","White Chicks",2004,"PG-13",109,15,69.1
"691","Fahrenheit 9/11",2004,"R",122,83,119.1
"692","Spider-Man 2",2004,"PG-13",127,94,373.4
"693","King Arthur",2004,"R",126,31,51.7
"694","Sleepover",2004,"PG",89,15,8.1
"695","Anchorman: The Legend of Ron Burgundy",2004,"PG-13",94,66,84.1
"696","A Cinderella Story",2004,"PG",95,11,51.4
"697","The Clearing",2004,"R",95,43,5.6
"698","The Bourne Supremacy",2004,"PG-13",108,81,176
"699","Catwoman",2004,"PG-13",104,9,40.2
"700","She Hate Me",2004,"R",138,19,0.0814
"701","Thunderbirds",2004,"PG",95,19,6.8
"702","The Manchurian Candidate",2004,"R",129,81,65.7
"703","The Village",2004,"PG-13",108,43,114.2
"704","Harold & Kumar Go to White Castle",2004,"R",88,74,18.2
"705","Before Sunset",2004,"R",80,95,5.6
"706","Lightning in a Bottle",2004,"PG-13",103,87,0.078
"707","De-Lovely",2004,"PG-13",125,48,13.1
"708","The Door in the Floor",2004,"R",111,67,3.6
"709","Maria Full of Grace",2004,"R",101,97,6.5
"710","Little Black Book",2004,"PG-13",111,21,20.4
"711","Collateral",2004,"R",120,86,100
"712","The Princess Diaries 2: Royal Engagement",2004,"G",113,25,95.1
"713","Yu-Gi-Oh!: The Movie",2004,"PG",89,5,19.7
"714","Riding Giants",2004,"PG-13",105,93,2.1
"715","AVP: Alien vs. Predator",2004,"PG-13",101,21,80.2
"716","Without a Paddle",2004,"PG-13",95,14,58.2
"717","Garden State",2004,"R",102,86,26.7
"718","Benji: Off the Leash!",2004,"PG",97,33,3.6
"719","Exorcist: The Beginning",2004,"R",114,11,41.8
"720","Napoleon Dynamite",2004,"PG",96,71,44.5
"721","Suspect Zero",2004,"R",99,18,8.6
"722","Anacondas: The Hunt for the Blood Orchid",2004,"PG-13",97,26,31.5
"723","Superbabies: Baby Geniuses 2",2004,"PG",88,0,9
"724","Vanity Fair",2004,"PG-13",141,51,16.1
"725","Paparazzi",2004,"PG-13",84,18,15.6
"726","Wicker Park",2004,"PG-13",114,25,12.8
"727","The Cookout",2004,"PG-13",97,5,11.5
"728","We Don't Live Here Anymore",2004,"R",101,65,1.9
"729","Gunner Palace",2004,"PG-13",85,85,0.0635
"730","Cellular",2004,"PG-13",94,55,32
"731","Resident Evil: Apocalypse",2004,"R",94,21,50.7
"732","Mr 3000",2004,"PG-13",104,54,21.8
"733","Wimbledon",2004,"PG-13",98,60,16.8
"734","Sky Captain and the World of Tomorrow",2004,"PG",106,72,37.6
"735","First Daughter",2004,"PG",106,8,9
"736","The Forgotten",2004,"PG-13",91,31,66.6
"737","Shaun of the Dead",2004,"R",99,92,13.5
"738","Criminal",2004,"R",87,69,0.7
"739","Mean Creek",2004,"R",90,90,0.3
"740","Shark Tale",2004,"PG",90,35,160.8
"741","Going Upriver: The Long War of John Kerry",2004,"PG-13",87,89,0.5
"742","Taxi",2004,"PG-13",97,10,36.5
"743","Friday Night Lights",2004,"PG-13",118,81,60.6
"744","Raise Your Voice",2004,"PG",103,15,10.4
"745","A Home at the End of the World",2004,"R",97,49,0.9
"746","Shall We Dance",2004,"PG-13",106,46,57.8
"747","Team America: World Police",2004,"R",98,77,32.7
"748","The Motorcycle Diaries",2004,"R",126,84,16.7
"749","Hair Show",2004,"PG-13",105,17,0.2
"750","The Final Cut",2004,"PG-13",95,37,0.5
"751","Surviving Christmas",2004,"PG-13",91,7,11.2
"752","Woman Thou Art Loosed",2004,"R",94,50,6.8
"753","The Assassination of Richard Nixon",2004,"R",95,68,0.6
"754","I Heart Huckabees",2004,"R",107,62,12.7
"755","The Grudge",2004,"PG-13",92,39,110.2
"756","Birth",2004,"R",100,38,5
"757","Thérèse: The Story of Saint Thérèse of Lisieux",2004,"PG",96,11,0.6
"758","Saw",2004,"R",103,48,0.7
"759","Ray",2004,"PG-13",152,81,75.2
"760","Alfie",2004,"R",103,49,13.4
"761","The Last Shot",2004,"R",93,61,0.4
"762","Fade to Black",2004,"R",109,58,1
"763","The Polar Express",2004,"G",100,55,0.5
"764","Seed of Chucky",2004,"R",87,32,17
"765","After the Sunset",2004,"PG-13",97,18,28.3
"766","The SpongeBob SquarePants Movie",2004,"PG",87,68,85.4
"767","Bridget Jones: The Edge of Reason",2004,"R",108,27,40.2
"768","National Treasure",2004,"PG",131,44,173
"769","Alexander",2004,"R",175,16,34.3
"770","Christmas with the Kranks",2004,"PG",99,5,73.7
"771","Eros",2004,"R",104,34,0.0537
"772","The Machinist",2004,"R",101,77,0.9
"773","Blade: Trinity",2004,"R",113,26,52.4
"774","Ocean's Twelve",2004,"PG-13",125,55,125.4
"775","Closer",2004,"R",104,68,34
"776","Spanglish",2004,"PG-13",131,53,42
"777","Flight of the Phoenix",2004,"PG-13",113,30,20.9
"778","Lemony Snicket's A Series of Unfortunate Events",2004,"PG",108,72,118.5
"779","Meet the Fockers",2004,"PG-13",115,38,279.2
"780","The Phantom of the Opera",2004,"PG-13",143,32,51.2
"781","Fat Albert",2004,"PG",93,25,48
"782","The Aviator",2004,"PG-13",170,87,102.6
"783","Beyond the Sea",2004,"PG-13",118,42,6.1
"784","Kinsey",2004,"R",118,90,10.2
"785","Duck Season",2004,"R",90,90,0.1
"786","A Very Long Engagement",2004,"R",133,78,6.2
"787","In Good Company",2004,"PG-13",109,83,45.5
"788","Around the Bend",2004,"R",85,28,0.1
"789","Sideways",2004,"R",126,96,71.4
"790","A Love Song for Bobby Long",2004,"R",119,43,0.1
"791","The Work and the Glory",2004,"PG",118,17,3
"792","Million Dollar Baby",2004,"PG-13",132,91,100.4
"793","Riding the Bullet",2004,"R",98,27,0.1
"794","Hotel Rwanda",2004,"PG-13",121,90,23.5
"795","P.S.",2004,"R",97,55,0.1
"796","Being Julia",2004,"R",104,76,7.7
"797","The Merchant of Venice",2004,"R",138,72,3.8
"798","Eulogy",2004,"R",91,32,0.0418
"799","Born Into Brothels: Calcutta's Red Light Kids",2004,"R",85,96,3.4
"800","Bride & Prejudice",2004,"PG-13",122,64,6.5
"801","Melinda and Melinda",2004,"PG-13",99,53,3.7
"802","House of D",2004,"PG-13",97,10,0.4
"803","Jiminy Glick in Lalawood",2004,"R",90,22,0.0257
"804","Crash",2004,"R",112,75,55.4
"805","A Good Woman",2004,"PG",93,37,0.0971
"806","Primer",2004,"PG-13",77,72,0.4
"807","Saving Face",2004,"R",91,87,1
"808","Yes",2004,"R",100,52,0.2
"809","My Date with Drew",2004,"PG",90,71,0.0852
"810","Innocent Voices",2004,"R",120,71,0.2
"811","Winter Solstice",2004,"R",90,60,0.2
"812","Paper Clips",2004,"G",82,72,1
"813","Haven",2004,"R",115,13,0.1
"814","Romance & Cigarettes",2005,"R",105,54,0.4
"815","The Dying Gaul",2005,"R",101,49,0.3
"816","The Salon",2005,"PG-13",90,12,0.0924
"817","Why We Fight",2005,"PG-13",98,78,1.9
"818","White Noise",2005,"PG-13",101,8,55.9
"819","Elektra",2005,"PG-13",97,10,24.3
"820","Racing Stripes",2005,"PG",102,35,49.2
"821","Coach Carter",2005,"PG-13",136,65,67.2
"822","Assault on Precinct 13",2005,"R",109,60,20
"823","Are We There Yet?",2005,"PG",95,11,82.3
"824","Hide and Seek",2005,"R",101,13,51
"825","Alone in the Dark",2005,"R",96,1,5.1
"826","Boogeyman",2005,"PG-13",89,13,46.4
"827","The Wedding Date",2005,"PG-13",90,10,32
"828","Hitch",2005,"PG-13",118,69,177.6
"829","Pooh's Heffalump Movie",2005,"G",68,79,18
"830","Constellation",2005,"PG-13",96,0,0.2
"831","Constantine",2005,"R",121,46,75.5
"832","Because of Winn-Dixie",2005,"PG",106,54,32.6
"833","Son of the Mask",2005,"PG",94,6,17
"834","Diary of a Mad Black Woman",2005,"PG-13",116,16,50.4
"835","Man of the House",2005,"PG-13",100,9,19.1
"836","The Jacket",2005,"R",103,44,6.3
"837","The Pacifier",2005,"PG",95,20,113
"838","Be Cool",2005,"PG-13",118,30,55.6
"839","Hostage",2005,"R",113,35,34.6
"840","Robots",2005,"PG",91,64,128.1
"841","The Ring Two",2005,"PG-13",110,20,75.9
"842","Ice Princess",2005,"G",98,52,24.4
"843","Miss Congeniality 2: Armed and Fabulous",2005,"PG-13",115,15,48.4
"844","Guess Who",2005,"PG-13",105,43,68
"845","Beauty Shop",2005,"PG-13",105,37,36.3
"846","The Upside of Anger",2005,"R",118,74,18.7
"847","The Ballad of Jack and Rose",2005,"R",112,47,0.6
"848","Fever Pitch",2005,"PG-13",104,65,42
"849","Sahara",2005,"PG-13",124,39,68.6
"850","State Property 2",2005,"R",94,14,1.7
"851","Down and Derby",2005,"PG",90,22,0.0439
"852","The Amityville Horror",2005,"R",90,23,64.3
"853","The Great New Wonderful",2005,"R",87,73,0.0397
"854","The Interpreter",2005,"PG-13",128,56,72.5
"855","A Lot Like Love",2005,"PG-13",107,41,21.8
"856","Dust to Glory",2005,"PG",97,60,0.6
"857","The Game of Their Lives",2005,"PG",101,26,0.4
"858","King's Ransom",2005,"PG-13",95,2,4
"859","Madison",2005,"PG",99,29,0.5
"860","Factotum",2005,"R",94,76,0.6
"861","xXx: State of the Union",2005,"PG-13",101,16,26.1
"862","House of Wax",2005,"R",113,25,32
"863","Kingdom of Heaven",2005,"R",144,39,47.3
"864","Last Days",2005,"R",97,57,0.4
"865","Monster-in-Law",2005,"PG-13",101,16,82.8
"866","Unleashed",2005,"R",103,65,24.4
"867","Kicking & Screaming",2005,"PG",95,41,52.6
"868","Star Wars: Episode III - Revenge of the Sith",2005,"PG-13",140,80,380.2
"869","Dominion: Prequel to the Exorcist",2005,"R",117,30,0.2
"870","The Longest Yard",2005,"PG-13",113,31,158
"871","Madagascar",2005,"PG",86,55,193.1
"872","Duma",2005,"PG",100,93,0.8
"873","The Sisterhood of the Traveling Pants",2005,"PG",119,77,43.5
"874","Cinderella Man",2005,"PG-13",144,80,61.6
"875","Lords of Dogtown",2005,"PG-13",107,55,11
"876","Mr. & Mrs. Smith",2005,"PG-13",120,59,186.1
"877","The Honeymooners",2005,"PG-13",90,14,12.8
"878","Batman Begins",2005,"PG-13",140,85,205.2
"879","The Perfect Man",2005,"PG",100,6,16.2
"880","Herbie Fully Loaded",2005,"G",101,41,65.9
"881","Bewitched",2005,"PG-13",102,25,62.3
"882","Land of the Dead",2005,"R",93,74,20.4
"883","Rize",2005,"PG-13",86,83,3.3
"884","War of the Worlds",2005,"PG-13",116,74,234.1
"885","Mad Hot Ballroom",2005,"PG",105,84,7.9
"886","Rebound",2005,"PG",103,13,16.7
"887","Dark Water",2005,"PG-13",105,46,25.4
"888","Fantastic Four",2005,"PG-13",106,26,154.5
"889","Heights",2005,"R",93,64,1
"890","Charlie and the Chocolate Factory",2005,"PG",115,83,206.4
"891","Wedding Crashers",2005,"R",119,75,209.2
"892","March of the Penguins",2005,"G",80,94,77.4
"893","The Island",2005,"PG-13",136,40,35.8
"894","Hustle & Flow",2005,"R",116,82,22.1
"895","The Devil's Rejects",2005,"R",107,53,16.9
"896","Stealth",2005,"PG-13",121,13,31.7
"897","Sky High",2005,"PG",100,73,63.9
"898","Must Love Dogs",2005,"PG-13",98,35,43.8
"899","Happy Endings",2005,"R",128,54,1.2
"900","The Wendell Baker Story",2005,"PG-13",99,40,0.0481
"901","The Dukes of Hazzard",2005,"PG-13",104,13,80.2
"902","Murderball",2005,"R",88,98,1.3
"903","Me and You and Everyone We Know",2005,"R",91,81,3.7
"904","Deuce Bigalow: European Gigolo",2005,"R",83,9,22.3
"905","The Skeleton Key",2005,"PG-13",104,38,47.7
"906","The Great Raid",2005,"R",132,37,10.1
"907","Supercross",2005,"PG-13",80,6,3
"908","Valiant",2005,"G",76,31,19.4
"909","The 40-Year-Old Virgin",2005,"R",116,85,109.2
"910","Red Eye",2005,"PG-13",85,79,57.9
"911","Don't Come Knocking",2005,"R",122,42,0.3
"912","Aliens of the Deep",2005,"G",100,84,8.3
"913","Broken Flowers",2005,"R",106,88,13.6
"914","The Cave",2005,"PG-13",97,11,14.9
"915","Undiscovered",2005,"PG-13",97,8,1
"916","The Constant Gardener",2005,"R",129,84,33.6
"917","Grizzly Man",2005,"R",103,93,2.9
"918","A Sound of Thunder",2005,"PG-13",101,6,1.7
"919","Underclassman",2005,"PG-13",95,6,5.6
"920","Nine Lives",2005,"R",115,75,0.1
"921","Mobsters and Mormons",2005,"PG",90,75,0.0679
"922","The Man",2005,"PG-13",83,11,8.3
"923","Green Street Hooligans",2005,"R",109,47,0.1
"924","Lord of War",2005,"R",122,61,24
"925","An Unfinished Life",2005,"PG-13",108,53,8.5
"926","Cry_Wolf",2005,"PG-13",90,22,10
"927","Just Like Heaven",2005,"PG-13",95,56,48.3
"928","Venom",2005,"R",85,11,0.8
"929","Junebug",2005,"R",106,86,2.4
"930","Corpse Bride",2005,"PG",77,83,53.3
"931","Flightplan",2005,"PG-13",98,38,89.6
"932","The Thing About My Folks",2005,"PG-13",96,45,0.7
"933","A History of Violence",2005,"R",96,87,31.4
"934","Serenity",2005,"PG-13",119,82,25.3
"935","Into the Blue",2005,"PG-13",110,21,18.5
"936","The Greatest Game Ever Played",2005,"PG",120,63,15.3
"937","In Her Shoes",2005,"PG-13",130,75,32.8
"938","Thumbsucker",2005,"R",96,71,1.1
"939","Two for the Money",2005,"R",122,22,22.9
"940","Waiting...",2005,"R",94,31,16.1
"941","The Gospel",2005,"PG",105,32,15.8
"942","Proof",2005,"PG-13",100,62,7.5
"943","The Curse of the Were-Rabbit",2005,"G",85,95,56.1
"944","Elizabethtown",2005,"PG-13",123,28,26.8
"945","The Fog",2005,"PG-13",100,4,29.5
"946","Everything Is Illuminated",2005,"PG-13",106,66,1.6
"947","Stay",2005,"R",99,27,3.3
"948","North Country",2005,"R",126,68,18.3
"949","The Work and the Glory II: American Zion",2005,"PG-13",100,45,1.9
"950","Doom",2005,"R",105,19,28
"951","El vacilón: The Movie",2005,"R",90,0,1.7
"952","Dreamer: Inspired by a True Story",2005,"PG",106,64,33
"953","Prime",2005,"PG-13",105,50,22.7
"954","The Weather Man",2005,"R",102,58,12.5
"955","Saw II",2005,"R",93,36,87
"956","The Legend of Zorro",2005,"PG",129,26,45.4
"957","Shopgirl",2005,"R",106,61,10.1
"958","Jarhead",2005,"R",125,61,62.6
"959","Chicken Little",2005,"G",81,36,135.3
"960","Good Night, and Good Luck.",2005,"PG",93,93,31.5
"961","Get Rich or Die Tryin'",2005,"R",117,16,30.9
"962","Zathura: A Space Adventure",2005,"PG",101,75,28
"963","Derailed",2005,"R",108,20,35.9
"964","Harry Potter and the Goblet of Fire",2005,"PG-13",157,88,290
"965","Kiss Kiss Bang Bang",2005,"R",103,85,4.2
"966","Walk the Line",2005,"PG-13",136,82,119.3
"967","In the Mix",2005,"PG-13",95,14,10.1
"968","Yours, Mine & Ours",2005,"PG",90,6,53.4
"969","Rent",2005,"PG-13",135,46,29.1
"970","Pride & Prejudice",2005,"PG",129,85,38.3
"971","Just Friends",2005,"PG-13",96,41,32.6
"972","Bee Season",2005,"PG-13",104,43,1.1
"973","First Descent",2005,"PG-13",110,52,0.7
"974","Æon Flux",2005,"PG-13",93,10,25.9
"975","Down in the Valley",2005,"R",114,52,0.4
"976","Syriana",2005,"R",128,72,50.8
"977","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"PG",143,76,291.7
"978","King Kong",2005,"PG-13",187,84,218.1
"979","The Family Stone",2005,"PG-13",103,51,59.9
"980","The Squid and the Whale",2005,"R",81,93,7.1
"981","Fun with Dick and Jane",2005,"PG-13",90,29,110.3
"982","Cheaper by the Dozen 2",2005,"PG",94,6,82.5
"983","The Ringer",2005,"PG-13",94,40,35
"984","Memoirs of a Geisha",2005,"PG-13",145,35,57
"985","The Producers",2005,"PG-13",134,51,19.2
"986","Rumor Has It...",2005,"PG-13",97,20,42.7
"987","Little Manhattan",2005,"PG",90,77,0.4
"988","BloodRayne",2005,"R",95,4,1.6
"989","Casanova",2005,"R",112,44,11.2
"990","Hostel",2005,"R",94,61,47.3
"991","Munich",2005,"R",164,78,47.4
"992","Marilyn Hotchkiss' Ballroom Dancing & Charm School",2005,"PG-13",103,22,0.2
"993","Hoodwinked!",2005,"PG",80,46,50.8
"994","Brokeback Mountain",2005,"R",134,87,83
"995","End of the Spear",2005,"PG-13",108,40,11.7
"996","Match Point",2005,"R",124,76,23.1
"997","The New World",2005,"PG-13",135,62,12.5
"998","Looking for Comedy in the Muslim World",2005,"PG-13",98,42,0.8
"999","Nanny McPhee",2005,"PG",97,73,47.1
"1000","The Matador",2005,"R",96,74,12.4
"1001","Capote",2005,"R",114,90,28.3
"1002","Mrs Henderson Presents",2005,"R",103,67,11
"1003","The Three Burials of Melquiades Estrada",2005,"R",121,85,4.9
"1004","Transamerica",2005,"R",103,76,8.7
"1005","Block Party",2005,"R",103,92,11.7
"1006","Mirrormask",2005,"PG",101,54,0.8
"1007","V for Vendetta",2005,"R",132,73,70.5
"1008","The World's Fastest Indian",2005,"PG-13",127,82,5
"1009","The White Countess",2005,"PG-13",135,50,1.6
"1010","Wassup Rockers",2005,"R",111,36,0.1
"1011","When Do We Eat?",2005,"R",86,42,0.4
"1012","Brick",2005,"R",110,80,2
"1013","Preaching to the Choir",2005,"PG-13",103,36,0.3
"1014","Thank You for Smoking",2005,"R",92,86,24.6
"1015","La mujer de mi hermano",2005,"R",89,20,2.8
"1016","Hard Candy",2005,"R",104,68,1
"1017","The Promise",2005,"PG-13",121,31,0.6
"1018","The Notorious Bettie Page",2005,"R",91,56,1.4
"1019","An American Haunting",2005,"PG-13",83,12,16.2
"1020","Goal! The Dream Begins",2005,"PG-13",118,44,4.2
"1021","Pretty Persuasion",2005,"R",104,32,0.0586
"1022","The Lost City",2005,"R",144,25,2.4
"1023","Kinky Boots",2005,"PG-13",107,57,1.7
"1024","The Heart of the Game",2005,"PG-13",97,86,0.4
"1025","Shadowboxer",2005,"R",93,18,0.3
"1026","Strangers with Candy",2005,"R",97,52,1.9
"1027","Leonard Cohen: I'm Your Man",2005,"PG-13",105,69,0.8
"1028","Boynton Beach Club",2005,"R",105,60,3
"1029","The Quiet",2005,"R",96,21,0.3
"1030","Trust the Man",2005,"R",103,27,1.5
"1031","Lassie",2005,"PG",100,93,0.5
"1032","The Protector",2005,"R",81,54,11.9
"1033","Harsh Times",2005,"R",116,48,3.3
"1034","Slow Burn",2005,"R",93,12,1.2
"1035","Adam & Steve",2005,"R",99,55,0.2
"1036","The Prize Winner of Defiance, Ohio",2005,"PG-13",99,57,0.4
"1037","How the Garcia Girls Spent Their Summer",2005,"R",128,79,0.0914
"1038","Sweet Land",2005,"PG",110,85,1.3
"1039","Love's Abiding Joy",2006,"PG",87,13,0.2
"1040","Grandma's Boy",2006,"R",94,18,5.9
